latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
49.9249,-121.5017,304.86,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,273.65,2.96,N
49.92585,-121.48772,314.82,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,282.31,2.32,N
49.92621,-121.49199,314.96,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.08,2.32,N
49.92658,-121.49624,319.26,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,286.26,2.3,N
49.92698,-121.5008,322.22,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.19,2.3,N
49.92738,-121.50549,299.44,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,271.66,0.98,N
49.93076,-121.49636,313.92,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,285.05,2.3,N
49.93116,-121.50087,317.09,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,283.52,2.3,N
49.93458,-121.49225,305.99,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,278.94,2.05,N
49.93497,-121.49674,300.88,0.4,0.44,2026-07-05,0949,N,VIIRS,n,2.0NRT,275.43,1.68,N
49.91133,-121.46363,347.2,0.59,0.7,2026-07-05,1938,N,VIIRS,n,2.0NRT,290.87,8.23,D
49.91583,-121.4928,340.25,0.59,0.7,2026-07-05,1938,N,VIIRS,n,2.0NRT,289.79,5.9,D
49.91717,-121.48914,339.24,0.59,0.7,2026-07-05,1938,N,VIIRS,n,2.0NRT,289.72,5.9,D
49.92159,-121.4978,326.97,0.59,0.7,2026-07-05,1938,N,VIIRS,n,2.0NRT,289.52,8.41,D
49.92748,-121.50244,332.21,0.59,0.7,2026-07-05,1938,N,VIIRS,n,2.0NRT,288.6,8.41,D
49.93599,-121.49992,367.0,0.59,0.7,2026-07-05,1938,N,VIIRS,h,2.0NRT,292.29,15.15,D
49.93739,-121.49607,367.0,0.59,0.7,2026-07-05,1938,N,VIIRS,h,2.0NRT,293.12,15.15,D
49.93889,-121.49197,346.13,0.59,0.7,2026-07-05,1938,N,VIIRS,n,2.0NRT,291.34,9.28,D
49.94044,-121.48772,334.15,0.59,0.7,2026-07-05,1938,N,VIIRS,n,2.0NRT,289.12,9.28,D
